"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"11408","TP53INP2","TP53INP2",-0.594738842528011,2.88933106537219,17.2469300618578,7.70903399957056e-05,0.00613553975929011,-4.11300003893218
"12593","ZNF331","ZNF331",-0.605811168761561,7.31589537913283,17.1893800387028,7.90587974001115e-05,0.00617849264260028,-4.10204979619679
"4643","HSPA2","HSPA2",-0.801962535548171,1.52581617806131,17.0295268839682,8.48021526324544e-05,0.00658765464731036,-4.0715931233974
"6423","METRNL","METRNL",-0.66551952671422,1.74083467395911,16.9597788175036,8.74409396084425e-05,0.00673389112688317,-4.05828518426319
"9929","SLC2A3","SLC2A3",-0.388660765733484,8.91440895644801,16.9524575803555,8.77227781117132e-05,0.00673389112688317,-4.05688762301045
"3796","FURIN","FURIN",-0.400242227855002,4.03975637564274,16.9343978953614,8.84220051803671e-05,0.00674763925414648,-4.05343964065278
"588","AREG","AREG",-0.607235535329297,1.79524508931379,20.1341743306113,9.06915199734525e-05,0.00688035724336607,-4.04243331934465
"8685","QTRT2","QTRTD1",-0.210476811904343,4.49848604499262,16.8352872066044,9.23626790077957e-05,0.00692613314894875,-4.0345034787277
"1157","BTG1","BTG1",-0.266051317276347,10.4443703264025,16.7383363490583,9.63923752509578e-05,0.00710510388710611,-4.0159573179374
"4737","IFRD1","IFRD1",-0.248784618037359,5.91122627667292,16.6710661495899,9.92942995871706e-05,0.00723676937384474,-4.00307568331628
"9040","RHOH","RHOH",-0.151889583865228,8.39387175814402,16.6140716225917,0.000101823203242677,0.00737962243389527,-3.99215324467113
"1923","CHAF1A","CHAF1A",-0.336642331537996,3.34867121802177,16.4888393351869,0.000107615241514753,0.00758843674858443,-3.96812621531474
"139","ACSL3","ACSL3",-0.185344030054011,5.16687681814271,16.4584653785995,0.000109070432675484,0.00764849039512999,-3.9622929640424
"4707","IER2","IER2",-0.279161390529544,7.9155795610722,16.3999064937185,0.000111933338106168,0.00779577586365108,-3.95104054439933
"2889","DTL","DTL",-0.560457071349209,1.79067818268413,16.3854350664298,0.000112652674145571,0.00779577586365108,-3.94825849454929
"10600","STK17A","STK17A",-0.278915222369884,7.64803495482024,16.3790103947544,0.000112973549862515,0.00779577586365108,-3.94702322459955
"8322","PPP1R15B","PPP1R15B",-0.188043417705324,6.47879164453737,16.3284451242205,0.000115532043385629,0.00792820118529998,-3.93729754533453
"11994","VAMP2","VAMP2",-0.161414529822782,7.35185760614806,16.3170874061014,0.000116114871287057,0.00792820118529998,-3.93511215490134
"5985","LPAR2","LPAR2",-0.26684024330652,5.50005861649638,16.2337630720957,0.000120484254729943,0.0081484703580724,-3.91906970438118
"4016","GLUL","GLUL",-0.300511326852242,6.98518897586795,16.2199416409108,0.000121225220003698,0.0081484703580724,-3.91640701903916
"5205","KLF2","KLF2",-0.283593571767052,7.82917035417511,16.1753022289105,0.000123650512200495,0.0082686499730774,-3.90780408031047
"6544","MIR4461","MIR4461",-0.215700817651657,6.91677030374798,16.1264380635439,0.000126362632874998,0.00840667916044795,-3.8983813337706
"6510","MIDN","MIDN",-0.376622844552735,3.10246758578553,16.0480138417346,0.000130844035989256,0.00863434438575505,-3.88324606817875
"1827","CEMIP2","TMEM2",-0.363585925437857,7.23796617809132,15.915061986064,0.000138818499864835,0.00898336328221761,-3.85755265308987
"6590","MME","MME",-0.957664707844282,1.84212577720821,15.9065723227443,0.000139344391617694,0.00898336328221761,-3.85591050623667
"11317","TNF","TNF",-0.334100115772106,5.00708695247093,15.8928483254999,0.000140198862988353,0.00898336328221761,-3.85325550847982
"659","ARID5A","ARID5A",-0.331812761822937,7.52032730743222,15.8657097999219,0.000141904444585518,0.00901974552764321,-3.84800400180302
"12337","ZC3H12D","ZC3H12D",-0.217489959566992,5.42310652369126,15.7901737637339,0.000146764984191852,0.00924263174718881,-3.83337754786824
"10976","TGFB1","TGFB1",-0.345220815170106,3.83746497192529,15.7666280269929,0.000148314856389025,0.00925042611507128,-3.8288153444226
"6228","MAP3K8","MAP3K8",-0.445341835392479,3.9563471988273,15.6093361970147,0.000159109852764374,0.0096943176051198,-3.79830292614406
"1850","CEP120","CEP120",-0.208107959864306,5.62595791148414,15.6085155593498,0.000159168245578549,0.0096943176051198,-3.79814357067853
"5011","JMJD6","JMJD6",-0.256506572683004,5.70017395282375,15.5598265799136,0.00016267249872398,0.00986145012124387,-3.78868586231794
"228","ADO","ADO",-0.287360019140024,3.35973815506794,15.4310676056743,0.000172327328608398,0.0102082302924052,-3.7636458443008
"779","ATF3","ATF3",-0.876742253941092,1.64139895350104,15.4126093033269,0.000173758968434363,0.0102462504431772,-3.76005277038656
"2017","CITED2","CITED2",-0.26896828076073,6.47786173633224,15.3698557681554,0.000177122168938425,0.0103504770163882,-3.75172707830692
"12410","ZFP36L1","ZFP36L1",-0.169486098468197,8.32689609474252,15.1862281074658,0.000192346891572362,0.0111398045730726,-3.71591482772929
"6774","MSL2","MSL2",-0.215714004470891,5.76373849434615,15.1645802260518,0.00019422842493545,0.0111987793630559,-3.71168721166152
"12057","VPS37B","VPS37B",-0.354089032167009,4.67852425823408,15.127268516387,0.000197515976803399,0.0112879945685925,-3.70439776911641
"10485","SRGN","SRGN",-0.238050802058804,9.74752810221203,15.0918185610051,0.000200692563762755,0.0114192308319922,-3.69746871907521
"8321","PPP1R15A","PPP1R15A",-0.4188840182428,7.11435389690319,14.969119140521,0.000212099311531754,0.0118601912435407,-3.67346074118851
"5036","KAT2A","KAT2A",-0.346648133475431,3.42760154451293,14.9364946091824,0.000215243142370913,0.0119461253745607,-3.66707067624092
"6535","MIR22HG","MIR22HG",-0.315409581031042,3.70810283180519,14.9340793278198,0.000215477787531582,0.0119461253745607,-3.66659749232303
"12723","ZNF564","ZNF564",-0.210827369249375,5.96634194648344,14.8859239705352,0.000220211464375765,0.0121050988446898,-3.65716007507577
"12543","ZNF250","ZNF250",-0.258715973478337,4.32255541409673,14.8260623206873,0.000226245515937565,0.0123322818414203,-3.64542001951666
